date,year,month,day,week,year_week
2021-05-27,2021,5,27,21,202121
2021-05-28,2021,5,28,21,202121
2021-05-29,2021,5,29,21,202121
2021-05-30,2021,5,30,21,202121
2021-05-31,2021,5,31,22,202122
2021-06-01,2021,6,1,22,202122
2021-06-02,2021,6,2,22,202122
2021-06-03,2021,6,3,22,202122
2021-06-04,2021,6,4,22,202122
2021-06-05,2021,6,5,22,202122
2021-06-06,2021,6,6,22,202122
2021-06-07,2021,6,7,23,202123
2021-06-08,2021,6,8,23,202123
2021-06-09,2021,6,9,23,202123
2021-06-10,2021,6,10,23,202123
2021-06-11,2021,6,11,23,202123
2021-06-12,2021,6,12,23,202123
2021-06-13,2021,6,13,23,202123
2021-06-14,2021,6,14,24,202124
2021-06-15,2021,6,15,24,202124
2021-06-16,2021,6,16,24,202124
2021-06-17,2021,6,17,24,202124
2021-06-18,2021,6,18,24,202124
2021-06-19,2021,6,19,24,202124
2021-06-20,2021,6,20,24,202124
2021-06-21,2021,6,21,25,202125
2021-06-22,2021,6,22,25,202125
2021-06-23,2021,6,23,25,202125
2021-06-24,2021,6,24,25,202125
2021-06-25,2021,6,25,25,202125
2021-06-26,2021,6,26,25,202125
2021-06-27,2021,6,27,25,202125
2021-06-28,2021,6,28,26,202126
2021-06-29,2021,6,29,26,202126
2021-06-30,2021,6,30,26,202126
2021-07-01,2021,7,1,26,202126
2021-07-02,2021,7,2,26,202126
2021-07-03,2021,7,3,26,202126
2021-07-04,2021,7,4,26,202126
2021-07-05,2021,7,5,27,202127
2021-07-06,2021,7,6,27,202127
2021-07-07,2021,7,7,27,202127
2021-07-08,2021,7,8,27,202127
2021-07-09,2021,7,9,27,202127
2021-07-10,2021,7,10,27,202127
2021-07-11,2021,7,11,27,202127
2021-07-12,2021,7,12,28,202128
2021-07-13,2021,7,13,28,202128
2021-07-14,2021,7,14,28,202128
2021-07-15,2021,7,15,28,202128
2021-07-16,2021,7,16,28,202128
2021-07-17,2021,7,17,28,202128
2021-07-18,2021,7,18,28,202128
2021-07-19,2021,7,19,29,202129
2021-07-20,2021,7,20,29,202129
2021-07-21,2021,7,21,29,202129
2021-07-22,2021,7,22,29,202129
2021-07-23,2021,7,23,29,202129
2021-07-24,2021,7,24,29,202129
2021-07-25,2021,7,25,29,202129
2021-07-26,2021,7,26,30,202130
2021-07-27,2021,7,27,30,202130
2021-07-28,2021,7,28,30,202130
2021-07-29,2021,7,29,30,202130
2021-07-30,2021,7,30,30,202130
2021-07-31,2021,7,31,30,202130
2021-08-01,2021,8,1,30,202130
2021-08-02,2021,8,2,31,202131
2021-08-03,2021,8,3,31,202131
2021-08-04,2021,8,4,31,202131
2021-08-05,2021,8,5,31,202131
2021-08-06,2021,8,6,31,202131
2021-08-07,2021,8,7,31,202131
2021-08-08,2021,8,8,31,202131
2021-08-09,2021,8,9,32,202132
2021-08-10,2021,8,10,32,202132
2021-08-11,2021,8,11,32,202132
2021-08-12,2021,8,12,32,202132
2021-08-13,2021,8,13,32,202132
2021-08-14,2021,8,14,32,202132
2021-08-15,2021,8,15,32,202132
2021-08-16,2021,8,16,33,202133
2021-08-17,2021,8,17,33,202133
2021-08-18,2021,8,18,33,202133
2021-08-19,2021,8,19,33,202133
2021-08-20,2021,8,20,33,202133
2021-08-21,2021,8,21,33,202133
2021-08-22,2021,8,22,33,202133
2021-08-23,2021,8,23,34,202134
2021-08-24,2021,8,24,34,202134
2021-08-25,2021,8,25,34,202134
2021-08-26,2021,8,26,34,202134
2021-08-27,2021,8,27,34,202134
2021-08-28,2021,8,28,34,202134
2021-08-29,2021,8,29,34,202134
2021-08-30,2021,8,30,35,202135
2021-08-31,2021,8,31,35,202135
2021-09-01,2021,9,1,35,202135
2021-09-02,2021,9,2,35,202135
2021-09-03,2021,9,3,35,202135
2021-09-04,2021,9,4,35,202135
2021-09-05,2021,9,5,35,202135
2021-09-06,2021,9,6,36,202136
2021-09-07,2021,9,7,36,202136
2021-09-08,2021,9,8,36,202136
2021-09-09,2021,9,9,36,202136
2021-09-10,2021,9,10,36,202136
2021-09-11,2021,9,11,36,202136
2021-09-12,2021,9,12,36,202136
2021-09-13,2021,9,13,37,202137
2021-09-14,2021,9,14,37,202137
2021-09-15,2021,9,15,37,202137
2021-09-16,2021,9,16,37,202137
2021-09-17,2021,9,17,37,202137
2021-09-18,2021,9,18,37,202137
2021-09-19,2021,9,19,37,202137
2021-09-20,2021,9,20,38,202138
2021-09-21,2021,9,21,38,202138
2021-09-22,2021,9,22,38,202138
2021-09-23,2021,9,23,38,202138
2021-09-24,2021,9,24,38,202138
2021-09-25,2021,9,25,38,202138
2021-09-26,2021,9,26,38,202138
2021-09-27,2021,9,27,39,202139
2021-09-28,2021,9,28,39,202139
2021-09-29,2021,9,29,39,202139
2021-09-30,2021,9,30,39,202139
2021-10-01,2021,10,1,39,202139
2021-10-02,2021,10,2,39,202139
2021-10-03,2021,10,3,39,202139
2021-10-04,2021,10,4,40,202140
2021-10-05,2021,10,5,40,202140
2021-10-06,2021,10,6,40,202140
2021-10-07,2021,10,7,40,202140
2021-10-08,2021,10,8,40,202140
2021-10-09,2021,10,9,40,202140
2021-10-10,2021,10,10,40,202140
2021-10-11,2021,10,11,41,202141
2021-10-12,2021,10,12,41,202141
2021-10-13,2021,10,13,41,202141
2021-10-14,2021,10,14,41,202141
2021-10-15,2021,10,15,41,202141
2021-10-16,2021,10,16,41,202141
2021-10-17,2021,10,17,41,202141
2021-10-18,2021,10,18,42,202142
2021-10-19,2021,10,19,42,202142
2021-10-20,2021,10,20,42,202142
2021-10-21,2021,10,21,42,202142
2021-10-22,2021,10,22,42,202142
2021-10-23,2021,10,23,42,202142
2021-10-24,2021,10,24,42,202142
2021-10-25,2021,10,25,43,202143
2021-10-26,2021,10,26,43,202143
2021-10-27,2021,10,27,43,202143
2021-10-28,2021,10,28,43,202143
2021-10-29,2021,10,29,43,202143
2021-10-30,2021,10,30,43,202143
